scheme_name,scheme_link,state,category,description
Pandit Dindayal Upadhyay Awas Yojana (Developing Caste Welfare) (EBC),https://www.myscheme.gov.in/schemes/pduayebc,Gujarat,Housing & Shelter,"The scheme aims to support Economically Weaker Sections (EWS) by offering financial aid up to ₹1,20,000/- for house construction. This scheme also ensures that Economically Weaker Sections receive support in securing shelter."
Sero Positive Illness Scheme,https://www.myscheme.gov.in/schemes/spis,Gujarat,Education & Learning,"The scheme ""Sero Positive Illness Scheme"" by the Social Justice and Empowerment Department, Government of Gujarat aims to provide educational scholarships to orphaned and destitute children affected by Sero Positive illness."
Kailash Darshan Yatra,https://www.myscheme.gov.in/schemes/kdy,Gujarat,"Sports & Culture, Travel & Tourism","The scheme provides financial assistance to pilgrims from Gujarat undertaking the Kailash Darshan Yatra. To be eligible, the applicant must be a selected pilgrim from Gujarat and submit proof of yatra completion within 90 days. Applications for this scheme are accepted offline."
Sindhu Darshan Scheme,https://www.myscheme.gov.in/schemes/sdd,Gujarat,"Travel & Tourism, Sports & Culture","The scheme aims to provide financial assistance of ₹15,000/- to pilgrims from Gujarat undertaking the Sindhu Darshan Yatra in Leh-Ladakh, fostering national unity. Intended beneficiaries include native Gujaratis who complete the yatra and apply within 60 days."
State Art Exhibition Competition,https://www.myscheme.gov.in/schemes/saec,Gujarat,Sports & Culture,"The scheme ""State Art Exhibition Competition"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to promote fine arts and recognize artistic talents by providing awards and scholarships to artists, art students, and school children across Gujarat."
Handicraft Mela Participation,https://www.myscheme.gov.in/schemes/hmp,Gujarat,Business & Entrepreneurship,"The scheme enables artisans and handicraft organizations to participate in government-sponsored melas across Gujarat and other states, fostering market access and preserving traditional crafts. Benefits include subsidized stall fees, promotional support, sales opportunities for handmade products."
Mill Gate Price Subsidy Scheme,https://www.myscheme.gov.in/schemes/mgpss,Gujarat,"Business & Entrepreneurship, Social welfare & Empowerment","The scheme provides 15% subsidy on yarn purchases from NHDC depots to handloom weavers, cooperatives, and NGOs, along with freight reimbursement (1–8.5%). Intended beneficiaries include weavers below the poverty line."
Mahila Samriddhi Yojana (GTKVN),https://www.myscheme.gov.in/schemes/msygtkdc,Gujarat,"Women and Child, Business & Entrepreneurship","The scheme aims to empower women entrepreneurs from Thakor & Koli communities by providing access to micro-loans for self-employment. Under this scheme, financial assistance in the form of low-interest loans is provided to eligible beneficiaries to set up small businesses based on their skills."
Retired Sportsperson Pension Scheme,https://www.myscheme.gov.in/schemes/rsps,Gujarat,Sports & Culture,"The scheme ""Retired Sportsperson Pension Scheme"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to ensure financial security to retired state-level medal-winning sportspersons aged above 50 years through monthly pension assistance."
Term Loan Scheme (GMFDC),https://www.myscheme.gov.in/schemes/tlsgmfdc,Gujarat,"Social welfare & Empowerment, Banking,Financial Services and Insurance","The scheme aims to promote self-employment among individuals from the minority communities by providing financial assistance for agriculture and allied activities, small-scale businesses, craftsmanship, transport sector, traditional occupations, and service-based businesses/trades."
Educational Loan Scheme (GMFDC),https://www.myscheme.gov.in/schemes/elgmfdcl,Gujarat,Education & Learning,"The scheme aims to provide financial assistance for technical and non-technical education that creates employment or job opportunities for beneficiaries. Through this scheme, loans are provided to eligible students from minority communities for studies within India and abroad."
Scheme for Providing Incentives to Coaches of Athletes who have Won Competitions at the National and International Levels,https://www.myscheme.gov.in/schemes/tspicacnil,Gujarat,Sports & Culture,"The scheme aims to honour coaches who have significantly contributed to the success of athletes in the field of sports. Under this scheme, financial incentives are provided to coaches of athletes who have won competitions at national and international levels."
Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Construction of New Grow-out Pond - Gujarat,https://www.myscheme.gov.in/schemes/pmmsycngpguj,Gujarat,"Agriculture,Rural & Environment",The scheme aims to enhance fish production and provide employment through inland fisheries. It offers financial support to construct new grow-out ponds for eligible beneficiaries.
Handicraft Rebate Scheme,https://www.myscheme.gov.in/schemes/hrs-g,Gujarat,"Business & Entrepreneurship, Social welfare & Empowerment","The scheme provides 5–20% rebates on sales of handicraft goods to cooperatives, with higher incentives for women-led groups and during festivals. Applications are submitted online via e-Kutir."
Pre-Matric Scholarship for the Students of Socially and Educationally Backward Class,https://www.myscheme.gov.in/schemes/pmsssebc,Gujarat,"Education & Learning, Social welfare & Empowerment",The scheme aims to provide financial aid to promote education. Scholarships are provided to eligible students of Standards 1 to 10.
Scheme for Integrated Development for Horticulture (HRT-2),https://www.myscheme.gov.in/schemes/sfidfh,Gujarat,"Agriculture,Rural & Environment","The scheme ""Scheme for Integrated Development for Horticulture (HRT-2)"" aims to promote holistic horticultural growth through financial assistance for production, processing, marketing, and infrastructure support to farmers across Gujarat."
"Vishesh Katan, Vankari & Vanat Sahay (Spinning & Weaving Assistance Scheme)",https://www.myscheme.gov.in/schemes/vkvvs-swas,Gujarat,"Business & Entrepreneurship, Social welfare & Empowerment",The scheme aims to provide financial assistance in addition to the central government assistance to spinners and weavers. It provides production incentives to Khadi spinners and weavers with category-wise differential assistance rates.
Educational Loan Scheme (GBCDC),https://www.myscheme.gov.in/schemes/elgbcdc,Gujarat,"Education & Learning, Social welfare & Empowerment","The scheme provides financial support to students from socially and educationally backward classes for higher technical and professional education. It offers loans at concessional interest rates for approved graduate and postgraduate courses like engineering, medical, MBA, MCA, and more."
Sharodotsav Pandit Nandan Mehta: Plan for Conducting Classical Music Competition and Ceremony,https://www.myscheme.gov.in/schemes/spnmcmc,Gujarat,Sports & Culture,"The scheme ""Sharodotsav Pandit Nandan Mehta: Plan for Conducting Classical Music Competition and Ceremony"" aims to promote classical music and percussion by organizing a state-level competition and award ceremony on the death anniversary of Pt. Nandan Mehta, through the provision of cash prizes."
National Mission on Edible Oil- Oil Palm: Nursery,https://www.myscheme.gov.in/schemes/nmoen,Gujarat,"Agriculture,Rural & Environment","The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers."
National Mission on Edible Oil–Oil Palm: Planting Materials,https://www.myscheme.gov.in/schemes/nmoeppm,Gujarat,"Agriculture,Rural & Environment","The scheme component ""Planting Materials"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in the state and reduce dependency on imports through financial assistance to farmers for procuring planting materials."
Assistance in Trellise Mandap for Cultivation of Vegetable Crops,https://www.myscheme.gov.in/schemes/atmfcvc,Gujarat,"Agriculture,Rural & Environment","The scheme ""Assistance in Trellise Mandap for Cultivation of Vegetable Crops"" aims to promote structured vegetable farming through the provision of financial assistance for constructing kachha/semi-pucca/pucca trellis mandaps to all farmers across the state."
Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Water Carrying Pipe Line (TASP & OTASP) Gujarat,https://www.myscheme.gov.in/schemes/dspvsfwcplguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to improve the agricultural productivity of Scheduled Tribe farmers through subsidized seeds, fertilizers, and equipment. It provides direct support to tribal farmers for enhancing crop production and livelihood."
Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Tarpaulin Gujarat,https://www.myscheme.gov.in/schemes/dsmpvhvstguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to enhance crop production and livelihood. It provides subsidies on seeds, fertilizers, tarpaulins, and other agricultural inputs to Scheduled Tribe farmers."
Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Castor cake/Neem cake/ Liquid Fermented Organic Manure / Green manure seed (For mix in the soil) Gujarat,https://www.myscheme.gov.in/schemes/dsmphsfcclomuk,Gujarat,"Agriculture,Rural & Environment","The scheme aims to help tribal farmers improve their livelihood by increasing agricultural crop production. Through this scheme, subsidies are provided on high-yield and hybrid seeds, fertilizers, and other agricultural inputs to Scheduled Tribe farmers."
Integrated Horticulture Development Program for Tribal Area Farmers (TASP) HRT-3,https://www.myscheme.gov.in/schemes/ihdptaf,Gujarat,"Agriculture,Rural & Environment","The scheme ""Integrated Horticulture Development Program for Tribal Area Farmers (TASP) HRT-3"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to enhance the horticulture sector through financial assistance and subsidies to tribal area farmers across the state."
PMMSY: Three wheeler with Ice Box including e-rickshaws for fish vending - Gujarat,https://www.myscheme.gov.in/schemes/pmmsyfvguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for a three-wheeler with an Ice Box, including e-rickshaws for fish vending."
PMMSY: Support for Acquisition of Deep Sea Fishing Vessels for Traditional Fishermen - Gujarat,https://www.myscheme.gov.in/schemes/pmmsysadsvtguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for the support for acquisition of deep-sea fishing vessels for traditional fishermen."
PMMSY: Motorcycle with Ice Box - Gujarat,https://www.myscheme.gov.in/schemes/pmmsyiceboxguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to provide financial assistance for the purchase of motorcycles with ice boxes. Through this scheme, eligible beneficiaries receive subsidies to enhance their livelihood opportunities."
Vidhya Sadhana Yojana Gujarat,https://www.myscheme.gov.in/schemes/vsyg,Gujarat,Education & Learning,"Under this scheme, free bicycles are gifted to girl students across Gujarat to reduce school dropouts among scheduled tribe girls after class 8."
Sri Ram Janmabhoomi Shabari Smriti Yatra Sahay Scheme,https://www.myscheme.gov.in/schemes/srjssyss,Gujarat,Travel & Tourism,"The scheme aims to provide financial assistance to scheduled tribes and tribal communities for pilgrimage to Sri Ram Janmabhoomi in Ayodhya in memory of Maa Shabari. The scheme offers ₹5,000/- financial assistance per pilgrim to enable darshan of Lord Sri Ram for eligible tribal beneficiaries."
Funeral Assistance Scheme for Unorganized Workers (Except Construction Workers),https://www.myscheme.gov.in/schemes/fasuw-ecw,Gujarat,Social welfare & Empowerment,"The scheme aims to provide financial assistance to heirs of deceased unorganized sector workers for funeral expenses. It offers ₹10,000/- to eligible heirs of e-Shram card holders."
Kunwar Bai Nu Mameru Yojana Gujarat,https://www.myscheme.gov.in/schemes/kbnmyg,Gujarat,"Social welfare & Empowerment, Women and Child","The scheme aims to provide financial support to ST families during the marriage of girls, providing ₹12,000 per couple as financial assistance to eligible tribal women across the state."
Higher Education Assistance Scheme,https://www.myscheme.gov.in/schemes/heas,Gujarat,"Social welfare & Empowerment, Education & Learning","The scheme aims to encourage children of workers and reduce financial burden of education through higher educational assistance. It provides ₹20,000/- for Bachelor of Medicine Bachelor of Surgery admission and ₹10,000/- for other graduate courses to merit students."
Scholarship Scheme for Students Studying in Government Colleges,https://www.myscheme.gov.in/schemes/ssssgc,Gujarat,Education & Learning,"Under this scheme, scholarships of ₹3,000, ₹2,000, and ₹1,000 are provided annually to Science, Commerce, and Arts students to promote higher education."
6% Interest Subsidy on Loans taken through Banks for Study Abroad,https://www.myscheme.gov.in/schemes/6islbsa,Gujarat,"Education & Learning, Banking,Financial Services and Insurance","The scheme aims to reduce financial stress for ST students pursuing foreign education by providing up to ₹1,50,000 subsidy on interest for 3 years."
Divisional Tripartite Competition,https://www.myscheme.gov.in/schemes/dtc,Gujarat,Sports & Culture,The scheme aims to promote theatrical arts and drama performances across Gujarat by organizing competitive events at divisional and state levels. Individual performers and theatre organizations receive cash prizes based on their performance rankings in state-level competitions.
Ashramshalas (Grant in Aid),https://www.myscheme.gov.in/schemes/agia,Gujarat,"Education & Learning, Social welfare & Empowerment","The scheme aims to provide schooling, boarding and lodging to Scheduled Tribe students at a single location, enabling better employment opportunities and competitive equality with other sections of society. The scheme offers residential education with complete support including free education."
To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Training Kit - Gujarat,https://www.myscheme.gov.in/schemes/ifpiftrainingkitguj,Gujarat,"Agriculture,Rural & Environment",The scheme aims to provide training and equipment to boost inland fisheries among Scheduled Tribe beneficiaries.
A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops,https://www.myscheme.gov.in/schemes/ptpapmh,Gujarat,"Agriculture,Rural & Environment",This scheme offers 90% financial assistance to farmers for purchasing planting materials of fruit crops to promote horticulture.
Scheme for the Award of Scholarship for Post Graduate Students of Various Faculties of Junagadh Agricultural University,https://www.myscheme.gov.in/schemes/sapgjau,Gujarat,Education & Learning,"The ""Scheme for the Award of Scholarship for Post Graduate Students of Various Faculties of Junagadh Agricultural University"" provides monthly scholarships to students pursuing Post Graduate in various faculties at Junagadh Agricultural University."
Assistance for Planting Vegetable Crops for Raw and Ripe Mandap,https://www.myscheme.gov.in/schemes/apvcrrm,Gujarat,"Agriculture,Rural & Environment","The scheme provides financial assistance to farmers in Gujarat for setting up vegetable trellises (Mandap) for raw, semi-ripe, and ripe vegetables, with varying support for General, SC, and ST farmers."
Passenger Auto Rickshaw Loan Scheme (DAADC),https://www.myscheme.gov.in/schemes/parls,Gujarat,"Banking,Financial Services and Insurance","The ""Passenger Auto Rickshaw Loan Scheme"" introduced by the Social Justice and Empowerment Department offers financial assistance in the form of loans to Scheduled Caste individuals from Antyodaya families to purchase passenger auto rickshaws and enhance their livelihood opportunities."
Loan for Training of Commercial Pilot (GUEEDC),https://www.myscheme.gov.in/schemes/ltcpg,Gujarat,"Education & Learning, Banking,Financial Services and Insurance","The scheme ""Loan for Training of Commercial Pilot (GUEEDC)"" by the Social Justice and Empowerment Department, Gujarat, provides financial loan assistance of up to ₹25,00,000/- at 4% simple interest per annum is provided to Unreserved category candidates for pursuing commercial pilot training."
Saraswati Sadhana Yojana to Economically Backward Class Girls studying in Class 9,https://www.myscheme.gov.in/schemes/ssyebc,Gujarat,Education & Learning,"Under this scheme, free bicycle assistance is provided to economically backward class girls studying in Class 9 in government and grant-in-aid schools across Gujarat."
Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare,https://www.myscheme.gov.in/schemes/pduaydcw,Gujarat,Housing & Shelter,"The ""Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare"" provides financial assistance of up to ₹1,20,000/- to socially and educationally backward classes, economically backward classes, and nomadic exempted castes for constructing houses across Gujarat."
Swayam Saksham Yojana (GBCDC),https://www.myscheme.gov.in/schemes/sssgbcdc,Gujarat,"Business & Entrepreneurship, Banking,Financial Services and Insurance","This scheme aims to instill a sense of self-reliance in the youth belonging to backward classes after receiving vocational education/training. Under this scheme, eligible youth are provided loans at a low-interest rate to start self-employment ventures."
Uniform Assistance for Socially and Educationally Backward Class Students Studying Standard 1st to 8th,https://www.myscheme.gov.in/schemes/uasebcote,Gujarat,"Education & Learning, Social welfare & Empowerment","The scheme ""Uniform Assistance for Socially and Educationally Backward Class Students Studying Standard 1st to 8th"" by the Social Justice and Empowerment Department, Gujarat, aims to promote educational inclusivity among SEBC students by providing financial assistance of ₹900/- for uniforms."
Scholarship for Self Finance Colleges Students of NT/DNT,https://www.myscheme.gov.in/schemes/sfsfcs,Gujarat,Education & Learning,"The scheme ""Scholarship for Self Finance Colleges Students of NT/DNT"" by the Social Justice and Empowerment Department, Government of Gujarat, provides financial assistance to Nomadic and De-notified Tribe students for pursuing higher education in self-financed colleges."
Stipends to Students of Economically Backward Class for Technical and Vocational Courses after SSC,https://www.myscheme.gov.in/schemes/ssebctv,Gujarat,Education & Learning,"The scheme “Stipends to Students of Economically Backward Class for Technical and Vocational Courses after SSC” by the Social Justice and Empowerment Department, Government of Gujarat, supports education for backward class students by providing a monthly stipend for one year."
Micro Finance Scheme for Self Help Groups (GTKVN),https://www.myscheme.gov.in/schemes/mfsfshg,Gujarat,"Women and Child, Business & Entrepreneurship, Banking,Financial Services and Insurance","The scheme aims to economically empower women from Thakor and Koli castes through self-employment opportunities via Self Help Groups (SHGs). Under this scheme, eligible members of SHGs receive a loan up to ₹60,000/- at low interest to start or expand small-scale businesses/enterprises."
"Coaching Assistance for Pre-preparation for Competitive Exams of ALL INDIA level like IIM, CEPT, NIFT, NLU and IELTS, TOFEL, GRE for going Foreign",https://www.myscheme.gov.in/schemes/capceailf,Gujarat,Education & Learning,"The scheme aims to assist SEBC and economically backward students in coaching for premier Indian and international exams, the eligible candidates receive up to ₹20,000/- or the actual fee paid."
Term Loan Scheme (GSKVN),https://www.myscheme.gov.in/schemes/dcs-tl,Gujarat,"Banking,Financial Services and Insurance, Business & Entrepreneurship, Skills & Employment","The scheme aims to uplift scavengers & their dependents by offering term loans of ₹1,00,000/- to ₹15,00,000/- to support them in starting self‐employment ventures in various trades & professions, enabling them to pursue income‐generating activities and lead dignified lives."
Loan for Small Businesses (DAADC),https://www.myscheme.gov.in/schemes/sbsdaadc,Gujarat,"Banking,Financial Services and Insurance, Business & Entrepreneurship","The scheme aims to promote self-employment among Scheduled Caste individuals belonging to Antyodaya Anna Yojana families by providing financial assistance for starting small businesses. Under this scheme, eligible beneficiaries are provided a loan of upto ₹1,25,000/- at a concessional interest rate."
Mahila Samruddhi Yojana (DAADC),https://www.myscheme.gov.in/schemes/msydaadc,Gujarat,"Banking,Financial Services and Insurance, Business & Entrepreneurship, Women and Child","The scheme aims to promote self-employment and financial independence among women from the Antyodaya Samaj, especially from Scheduled Castes. Under this scheme, loan up to ₹50,000/- is provided at a concessional interest rate to eligible women for starting small-scale businesses."
Mamasaheb Phadke Management of Govt Adarsh ​​Residential Schools (SC) Scheme,https://www.myscheme.gov.in/schemes/mpmgarssc,Gujarat,"Education & Learning, Housing & Shelter","The scheme aims to expand access to quality residential education for scheduled caste students in standards 9 to 12. Through this scheme, eligible SC students receive free boarding, lodging, textbooks, uniforms, meals, and additional support services to enhance academic participation."
Satfera Samuhlagna (DCW) Scheme,https://www.myscheme.gov.in/schemes/ssdcws,Gujarat,Social welfare & Empowerment,The scheme aims to encourage community marriages among economically and socially backward classes. Incentives are provided to couples and the organizing institutions.
Financial Loan for Training of Commercial Pilot,https://www.myscheme.gov.in/schemes/flftcp,Gujarat,"Banking,Financial Services and Insurance, Skills & Employment","The scheme aims to support students from Socially and Educationally Backward Classes (SEBC) in obtaining Commercial Pilot License (CPL) training through financial assistance. Under this scheme, a loan of up to ₹25,00,000 is offered at a concessional interest rate of 4% per annum to the students....."
Loan For Foreign Study (S.E.B.C.),https://www.myscheme.gov.in/schemes/lfs-sebc,Gujarat,"Banking,Financial Services and Insurance, Education & Learning","The scheme aims to support higher education abroad for eligible students from the Socially and Educationally Backward Class (SEBC). It provides a maximum Foreign Study Loan of ₹15,00,000/- at an annual interest rate of 4% to SEBC students."
Krushi Mahotsav,https://www.myscheme.gov.in/schemes/km,Gujarat,"Agriculture,Rural & Environment, Education & Learning",The Krishi Mahotsav Yojana is an agricultural development scheme launched by the Government of Gujarat in the year 2010. The scheme aims to boost agricultural productivity and increase the income of farmers in the state.
Atal Sneh Yojana,https://www.myscheme.gov.in/schemes/asyg,Gujarat,Health & Wellness,"Gujarat Chief Minister Shri Vijay Rupani here today announced the Atal ‘Screening of Newborn for Enhancement of Health’ (SNEH) Yojna to be started in the state from the former Prime Minister Atal Behari Vajpayee’s birthday on December 25, 2016."
