scheme_name,scheme_link,state,category,details,benefits,eligibility,application_process,documents_required,error
Financial Loan for Training of Commercial Pilot,https://www.myscheme.gov.in/schemes/flftcp,Gujarat,"Banking,Financial Services and Insurance, Skills & Employment","The ""Financial Loan for Training of Commercial Pilot"" scheme was launched by the Social Justice and Empowerment Department, Government of Gujarat. The scheme aims to support students from Socially and Educationally Backward Classes (SEBC) in obtaining Commercial Pilot License (CPL) training through financial assistance. Under this scheme, a loan is offered at a concessional interest rate to eligible students who meet the educational and institutional requirements for CPL training.","Loan Amount: 
Up to ₹25,00,000 for Commercial Pilot License training.
Interest Rate: 
4% simple interest per annum.
Penal Interest: 
2.5% additional interest for late or defaulted payments.
Repayment Period:
Principal: To be repaid within 10 years from the date of disbursement.
Interest: To be paid within 2 years, making the total repayment duration 12 years.
NOTE: Loan recovery will begin one year after the loan is disbursed to the student.","The applicant must belong to a Socially and Educationally Backward Class (SEBC).
The applicant must have passed Matriculation, Higher Secondary, Indian School Certificate, or an equivalent examination.
The applicant must meet all academic, technical, and other criteria as specified by the training institution.
The applicant must provide one solvent guarantor.
The applicant or their guardian must own property to mortgage in favor of the government.","Online
Application Process:
Step 01: The eligible applicant may visit the e-Samaj Kalyan Portal: https://esamajkalyan.gujarat.gov.in/﻿
Step 02: On the home page, under the tab ‘Citizen Login’, click on New User ‘Please Register Here’.
Step 03: Enter your Full Name as per Aadhaar Card, Gender, Date of Birth, Aadhaar Card Number, Email ID, Caste etc. and then click on ‘Register’.
Step 04: After successful registration, the applicants can login through their User ID and Password.
Step 05: Now, click on ‘User Profile’ to update your profile.
Step 06: Fill in all the mandatory information and then click on ‘Update’. 
Step 07: After updating the profile successfully, select the scheme appearing on the home page; an application form will open.
Step 08: Fill in all the mandatory details in the application form and upload all the relevant documents.
Step 09: Now agree with the terms & conditions and click on ‘Save Application’.
Step 10: Submit the application form and take out the print of the application for future reference. The applicant can note down the application number to track the application status by logging into the portal using their User ID and Password.
﻿User Manual 
NOTE: Submit two physical copies of the form with documents to the concerned District Office.
Post-Application Process:
Step 01: The District Office verifies the application and forwards it to the Director, Office of Welfare of Developing Castes.
Step 02: Incomplete applications are returned to the student for corrections.
Step 03: Once approved, the guardian must mortgage their property with a registered deed in favor of the government.
Step 04: After submitting the original registered mortgage deed, the loan amount is disbursed to the student’s bank account.","Caste Certificate
School Leaving Certificate
Family Income Certificate, IT Return, Form-16
Copies of educational qualification certificates (from Class 10 to the last examination)
Admission Consent Letter
Estimate of Training Expenses
If training is abroad, a copy of the trainee's passport, a copy of the visa for that country, and a copy of the air ticket
Property documents and valuation report of the trainee's father/guardian
Guarantor: One solvent guarantor must be provided.",
Loan For Foreign Study (S.E.B.C.),https://www.myscheme.gov.in/schemes/lfs-sebc,Gujarat,"Banking,Financial Services and Insurance, Education & Learning","The scheme ""Loan for Foreign Study (S.E.B.C.)"" was launched by the Social Justice and Empowerment Department, Government of Gujarat. The scheme aims to provide students belonging to the Socially and Educationally Backward Class (S.E.B.C.) with financial assistance for higher education abroad. The scheme provides a maximum loan of ₹15,00,000/- (Rupees Fifteen Lakh) for higher studies in foreign countries. The applications for this scheme are accepted online via the official website https://esamajkalyan.gujarat.gov.in/.","Financial Assistance
A maximum Foreign Study Loan of ₹15,00,000/- is provided for higher education abroad.
The loan is offered at a simple annual interest rate of 4%.
The loan covers costs such as air tickets, registration fees, tuition fees, education fees, hostel fees, books, and other expenses associated with the first year of the course abroad.
Disbursement Conditions
The full loan amount of ₹15,00,000/- will be disbursed to the student in a single installment.
The money will be deposited into the student's bank account after the submission of the original registered mortgage deed.
Post-Selection Obligations
After the sanction order is received, the student's parent or guardian must obtain the prescribed mortgage deed form from the District Office.
The property presented by the student's parent/guardian or the guarantor must be registered as a mortgage in favor of the government.
The loan repayment must begin one year after the completion of the student's study.
The loan must be repaid in monthly or quarterly installments.
The principal loan amount must be fully repaid within a maximum period of 10 years.
The interest amount must be fully repaid within a maximum period of 2 years.
The student must ensure all required documentation is completed within the prescribed time limit.","The applicant must belong to the Socially and Educationally Backward Class (S.E.B.C.).
The applicant's family annual income must be less than ₹10,00,000/- (Rupees Ten Lakh).
The applicant must have secured a minimum of 60% or more marks in 12th standard.
The applicant must have secured a minimum of 50% marks if they belong to Notified Tribes/De-notified Tribes (NT/DNT), More Backward, or Extremely Backward categories.
The applicant must be pursuing higher education abroad.
The applicant must be pursuing a Diploma, Graduate, Post Graduate, Post Graduate Diploma, Doctor of Philosophy (Ph.D.), or higher-level courses in any field.
The course must be for a minimum duration of 1 (one) academic year or more, or at least two semesters.
The applicant must apply before traveling abroad or within six months of arriving abroad.
The applicant must submit one solvent guarantor.","Online
Registration
Step 1: Visit the Official Website of eSamajkalyan.
Step 2: In the right pane of the home page, click ""New User? Please Register Here!"".
You will be taken to the Registration Form.
Step 3: In the form, provide all the mandatory fields, fill in the captcha code, and click ""Submit"" to complete the registration process. A popup will appear acknowledging successful registration and displaying your User ID for Login.
﻿

Application
Step 1: Visit the Official Website of eSamajkalyan. In the ""Citizen Login"" section provided in the right pane of the home page, provide your User ID and Password, fill in the Captcha Code, then click ""Login"".
Step 2: In the ribbon provided at the top of the website, click the ""Corporation"" menu, then click ""Gujarat State Divyangjan Finance and Development Corporation"". A list of schemes will be displayed. Select the scheme you intend to apply for.
Step 3: You will be taken to the online application form of the scheme. In the form, provide all the mandatory fields and upload all the mandatory documents in the specified format and size. Carefully review all the information provided and the documents uploaded. Make corrections, if any.
Step 4: Click ""Submit"" to submit your application. You'll receive a confirmation message. Note down your Application Number for future reference. You can also take a printout of the submitted application form.
Step 5: Following the successful online submission, the applicant must take a printout of the final application form. Two identical physical copies of the complete application set, along with attached enclosures of all uploaded documents, must be prepared. These two copies must then be deposited at the respective District Office (District Social Welfare Officer (Developing Castes)) applicable to the student.","During Application
• Caste Certificate.
• Family Income Certificate.
• Income Tax Return.
• Form-16.
• Mark Sheet.
• Degree Certificate.
• Offer Letter from Foreign University (Offer Letter/Letter of Acceptance).
• Copy of Student’s Passport.
• Copy of Student’s Visa (of the Foreign Country).
• Copy of Air Ticket.
• Parents’/Guardian’s Property Documents (And Valuation Report).
For Loan Disbursement
• Registered Mortgage Deed (Original) (Required after approval for loan disbursement).",
Krushi Mahotsav,https://www.myscheme.gov.in/schemes/km,Gujarat,"Agriculture,Rural & Environment, Education & Learning","Detailed 
Some of the key features of the Krishi Mahotsav Yojana Gujarat are:
Soil Health Card: The government provides soil health cards to farmers to help them understand the nutrient status of their soil and take appropriate measures to improve soil fertility.
Subsidized Inputs: The government provides subsidies on various agricultural inputs such as seeds, fertilizers, and pesticides to encourage farmers to use quality inputs and increase their crop yields.
Training and Extension Services: The government provides training and extension services to farmers to help them adopt modern and scientific farming practices and improve their productivity.
Agricultural Infrastructure Development: The government invests in the development of agricultural infrastructure such as irrigation facilities, rural roads, and markets to improve farmers' access to inputs and markets.
Crop Insurance: The government provides crop insurance to farmers to protect them from crop losses due to natural calamities, pests, and diseases.
Financial Assistance: The government provides financial assistance to farmers for the purchase of farm machinery and equipment, as well as for the development of farm infrastructure.
The Krishi Mahotsav Yojana Gujarat is implemented through various activities and programs such as farmer meetings, soil testing, crop demonstrations, and training programs. The government also encourages farmers to adopt sustainable agricultural practices such as organic farming and use of renewable energy sources.
The Krishi Mahotsav Yojana Gujarat has played a significant role in transforming the agricultural landscape of the state and has improved the livelihoods of farmers by increasing their crop yields and incomes.","Benefits
Agriculture Scientists and officers are provided guidance to farmers about Scientific farming, Organic farming, Farm mechanization, Micro Irrigation, Crop Value addition and Agriculture related information as well as provided knowledge of Government Schemes.
In addition, to provide free kit distribution to small farmers during Krushi Mahotsav.","Eligibility
All farmers and Female farmers of the state.
The scheme is available to all farmers in the state of Gujarat.
There are no restrictions based on caste, religion, or gender.
Farmers who are interested in learning about the latest agricultural practices and improving their crop yields are encouraged to participate.","Offline
Application Process
Farmers do not need to apply separately for the scheme. 
The camps are organized at the district and taluka levels, and farmers can visit the camps to participate in the scheme.
Farmers can visit the camps organized by the government at the district and taluka levels. At the camps, experts and officials will provide education and training on modern farming techniques, and free inputs like seeds, fertilizers, and pesticides will be distributed to the farmers.","List of the required documents
No documents are required.
Land documents (to get more specific information about your farm).",
Atal Sneh Yojana,https://www.myscheme.gov.in/schemes/asyg,Gujarat,Health & Wellness,"Detailed 
Atal Sneh Yojana in Gujarat is the scheme that has launched on the 25th of December 2016 on the occasion of former Prime Minister Atal Bihari Vajpayee’s ninety-second birthday. The scheme is launched by the Chief Minister of Gujarat, Mr. Vijay Rupani. The scheme will look forward to a healthy child after their birth. It was decided at the Gandhinagar Civil Hospital and it will look upon the children up to two months after their birth.
After focusing on the health of the children and covering some major diseases the government has now shifted its focus to core issues. Basically, the Atal Sneh Yojana will replace the decades-old Annual School Program which was being carried out by the health and education departments.
For this new scheme, newborn children will be screened specifically to look for health defects and improve them. This is being launched wide across Gujarat. Under this scheme, the newborn kids will be screened and given treatment immediately if there is any illness found. It will be carried out for two long months.
Objectives 
Through this scheme, children can be provided with better health. Better health will lead to avoiding malnutrition, disorders, and diseases.
Around seven percent of newly born babies every year are suffering from certain disorders and that has created a serious issue in the international platform. So by preventing such trouble, the country can be in a better position in international health conferences.
With such schemes, the government is also looking for a stronger young generation and this young generation would lead to having a stronger nation.
some of the dire diseases kids suffer from
The children suffer from some very grave diseases such as complicated birth defects such as Down’s syndrome, congenital deafness, club foot, neural tube defect, etc.
These are not all. There are some diseases, which are there present in the dormant state within the genes. By checking the kids at their tender age, the doctors will be able to better treat them.
The Chief Minister of the state launched that all of the diseases that are detected at the maternity homes by the government will be taken care of by the government.","Benefit 
In this scenario, the newborn children will be referred to a doctor. If the case is not very serious, then they will be referred to a local facility for treatment.
Children who are ill or born with some genetic diseases will receive proper treatment from experts. They will also receive follow-ups after their treatment from family health workers.
The newborn babies will get a thorough health checkup from these health workers and the Rashtriya Bal Swasthya Karyakram (RBSK). This will be done at both private and government hospitals.
If there are noninstitutionalized deliveries that have taken place, then the social health care activists and the RBSK members will arrange a proper screening for the child in their center.
The Minister of State for Health in Gujarat has also announced that there will be a special cochlear implant surgery provided to kids that are being born with hearing and speech impairment.","Eligibility 
All Newborn children are eligible.
Age should be up to two months after their birth.","Offline
Application Process
Visit the nearest Anganwadi Centre or District Child Protection Officer office and obtain the application form.
Fill out the application form with all the required details and attach the necessary documents such as birth certificate, income certificate, and Aadhar card.
Submit the application form along with the documents to the Anganwadi Centre or District Child Protection Officer's office.
The application will be verified by the officials and the eligible applicants will be selected for the scheme.
The selected applicants will be provided with the benefits under the scheme.","List of the required documents
Birth Certificate.
Parents/Guardian Aadhar card
Other relevant documents related to health issues.",
Sardar Patel Awas Yojana,https://www.myscheme.gov.in/schemes/spay,Gujarat,Housing & Shelter,"Detailed
Under the Sardar Patel Awas Yojana, the government provides financial assistance to eligible beneficiaries for the construction of their own house. The scheme is implemented by Gujarat Housing Board (GHB) and Gujarat Urban Development Mission (GUDM) in urban areas, and by Gujarat Rural Housing Corporation (GRHC) in rural areas.
Sardar Patel Awas Yojana is a housing scheme launched by the government of Gujarat in India to provide affordable housing to economically weaker sections and low-income groups of the society. The scheme provides financial assistance to eligible beneficiaries for the construction of their own house, and is implemented by Gujarat Housing Board and Gujarat Urban Development Mission in urban areas, and by Gujarat Rural Housing Corporation in rural areas. The scheme aims to improve the living standards of the underprivileged sections of society by providing them with their own homes.","Benefits
Affordable Housing: SPAY provides financial assistance to the economically weaker sections and low-income groups of the society to construct their own homes, thus making housing affordable for them.
Better Living Standards: By providing a pucca house to the beneficiaries, SPAY aims to improve their living standards and ensure that they have access to basic amenities like electricity, water, and sanitation.
Empowerment: Owning a house provides a sense of security and empowerment to the beneficiaries. It gives them a permanent address and a feeling of ownership.
Subsidy: The financial assistance provided by the government in the form of a subsidy reduces the burden of the beneficiaries, making it easier for them to construct their own house.
Employment Generation: The construction of houses under SPAY generates employment opportunities for local laborers, thus contributing to the local economy.
Economic Growth: The construction of houses under SPAY also contributes to the overall economic growth of the country by creating demand for building materials and services.","Eligibility 
This scheme of the State Govt. being poor-oriented the persons registered Below the Poverty Line in rural areas may avail the benefit of the scheme.
A person who has no plot or house may avail the benefit of the scheme.
The applicant should not have taken benefit of any other housing scheme.
The applicant who has a maximum of half a hectare of irrigated land or a maximum of one hectare of unrelated land may also avail advantage of the scheme.
If husband and wife live together and if there is a plot or house in the name of the husband or wife and living in the same village for the last five years, either of them may avail the benefit of the scheme.
If a beneficiary is a native of the village he should hold a card Below the Poverty Line of that village such person should obtain a certificate from the Sarpanch of his native village that “this beneficiary has not taken advantage of Sardar Patel Awas Yojana in our village. A certificate should be produced that there is no house in his name or in the name of his wife in his native place and they should fall in the definition of B.P.L.
Benefit under Sardar Patel Awas Yojana is available to the villager living Below Poverty Line only once.","Offline
Application Process
Download the application from the official website or click here. 
Fill out the application form with the required details. 
Include all the required documents.
Applicant should apply to Nearest Taluka Vistar Adhikari/Taluka Panchayat/Jila Panchayat with the application form.","List of required documents
Proof of registration as below the poverty line in a rural area
Identity proof such as Aadhaar Card, Voter ID, etc.
Address proof such as ration card, electricity bill, etc.
Land documents to prove that the applicant does not own a house or plot
Certificate from the Sarpanch of the native village stating that the applicant has not previously taken advantage of the Sardar Patel Awas Yojana and meets the B.P.L criteria
Income certificates or proof of income such as salary slips, bank statements, etc.
Any other documents that may be required by the authorities for the application process",
Mukhyamantri Kisan Sahay Yojana,https://www.myscheme.gov.in/schemes/mksy,Gujarat,"Agriculture,Rural & Environment","Details
Mukhya Mantri Kisan Sahay Yojana is implemented by the Revenue Department of the Government of Gujarat in collaboration with the Agriculture and Co-operation Department. The Revenue Department is responsible for the implementation of the scheme, including the verification of crop damage and the disbursal of compensation to eligible farmers. The Agriculture and Co-operation Department provides technical assistance and support for the implementation of the scheme to ensure that farmers receive timely and adequate relief in case of crop damage due to natural calamities.
﻿

Key Points
The main objective behind launching this scheme is to provide financial assistance to farmers of Gujarat in case of crop loss.
Financial Assistance will only be provided to farmers if Crop Loss is due to natural calamities.
No premium will have to pay by the farmers to get themselves registered under Mukhyamantri Kisan Sahay Yojana.
Financial Assistance will only be paid up to a maximum of 4 Hectares of Agricultural Land.
Eligible Farmers can apply by visiting their nearest E Gram Centre to avail the benefit of financial assistance in case of crop loss.","Benefits
Amount of Assistance	Crop Loss Percentage
Rs. 20,000/- per Hectare	Crop Loss of 33% to 60%
Rs. 25,000/- per Hectare	Crop Loss of Over 60%","Eligibility 
The applicant must be a farmer residing in Gujarat state.
The applicant must have availed of a loan for agricultural purposes from a cooperative institution or a bank.
The applicant must have suffered crop loss due to natural calamities such as drought, flood, or earthquake.
The applicant must possess the land for agricultural purposes in his/her name or have the right to cultivate such land.
The land should be surveyed by the Revenue Department of Gujarat and should have a record of rights.
The crop loss should be certified by the Revenue Department of Gujarat.
The applicant should have insured the crop under the Pradhan Mantri Fasal Bima Yojana or any other crop insurance scheme recognized by the Government of Gujarat.","Online
Offline
Application Process
Visit the official website of the Gujarat government's agriculture department.
Navigate to the Mukhya Mantri Kisan Sahay Yojana page.
Download the application form for the scheme.
Fill in the application form with accurate details.
Attach the required documents such as proof of land ownership, crop loss certificate, and bank loan documents.
Submit the application form along with the supporting documents to the nearest agricultural office or bank branch.","List of the required documents
Proof of land ownership.
Crop loss certificate issued by a government authority.
Bank loan documents related to farming activities.
Aadhaar card or other government-issued identification.
Passbook of the bank account where the financial assistance will be disbursed.
Any other documents as specified in the application form.",
Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Tribe Women,https://www.myscheme.gov.in/schemes/ssegu10stw,Gujarat,"Agriculture,Rural & Environment, Business & Entrepreneurship, Women and Child","The scheme “Subsidy Scheme for Establishment of Goat Unit (10+1) for Scheduled Tribe Women” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to uplift Economically poor livestock breeders of Gujarat State. Under the scheme, each beneficiary should purchase 10 female goats and 1 male goat and the beneficiary has to contribute 50% of the unit cost for food, water, fodder, residence, and concentrate expenses.","50% Subsidy on Unit Cost or Maximum ₹45,000/-.
Benefit of the scheme will be available once in a lifetime.","Applicant should be a Scheduled Tribe (ST) woman.
The benefit has provided to only one person per family.
Priority will be given if the applicant is:
A Scheduled Tribe widow, or
An abandoned woman.
﻿

Note 01: The beneficiary has to purchase goats unit within 90 days of pre-approval of the online application. If the beneficiary fails to establish the goat unit within the time limit or proves disabled then the approval order given to the beneficiary will be cancelled and the approval order will be given to the beneficiary who is next in the waiting list.
﻿

Note 02: The beneficiary has to note the record of milk production and has to give the register and information during the visit of the department technical officer.","Online
Step-01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿
Step-02: Click on the ""Apply Newly"" button and submit a new application.
Ste-03: Click on the ""Update Application"" button to add corrections to the application.
Step-04: Click on the “Upload Documents” and uploaded all the required documents.
Step-05: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step-06: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application scanned copy of the application and other documents can be uploaded after confirming the application.
Step-07: Take a printout of the confirmed application form, sign/thumb impression on it, and with all submit the concerned documents within 7 days to a nearby veterinary dispensary.
﻿

Note-01: It is mandatory to take a printout of the application (only applying online will not count as an application).
Note-02: Take a printout of the online application and submit it along with necessary documents to the office/office address mentioned on the application or after applying online on the I-Khedut Portal, take a printout of the application and scan it with signature/thumbprint and ""Signed Application Print"" on the portal. A copy can be uploaded by clicking on Upload"" menu. ""Other Document Upload"" wherever applicable.
Note-03: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note-04: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents in the concerned office within seven days of application.
Note-05: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Identity proof i.e. Aadhaar Card, Voter ID Card
Proof of Date of Birth (if applicable)
Below Poverty Line Card (If applicable)
Residence proof
Caste Certificate
Death certificate of husband (in case of widow)
Disability Certificate from Competent Authority (if applicable)
Ration Card (if applicable)
Savings Account Bank Passbook or Cancelled Check",
Subsidy Scheme On Establishment Of 40 R.I.R. Birds Unit For Divyang People,https://www.myscheme.gov.in/schemes/sse40rbudp,Gujarat,"Agriculture,Rural & Environment, Business & Entrepreneurship","The scheme “Subsidy Scheme on Establishment of 40 R.I.R. Birds Unit for Divyang People” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to provide employment, nutritious diet and to raise the income of Divyang People of the society of Gujarat State. Under this scheme, the beneficiary will be given 40 R.I.R birds unit along with poultry feed and a subsidy will be given 90% of the cost of the scheme (maximum ₹7200/- in form birds and poultry feed).
Terms and conditions of the scheme:-
Eligible applications will be sanctioned by Regional Joint Director.
As and when birds get infected, they should be given treatment immediately.
As and when the Government officer visits the farm the beneficiary will have to show income and expenditure statement.
In normal cases, the unit will have to maintain for two years.
In all terms and conditions, the final authority will be the Director of Animal Husbandry, Gujarat State, Gandhinagar.","1.	The beneficiary will be given 40 R.I.R birds unit along with poultry feed.
2.	The subsidy will be given 90% of the unit cost of the scheme (maximum ₹7200/- in the form of birds and poultry feed).
3.	Under the scheme, the birds will be given vaccination regularly.","The benefits of this scheme will only be given to the adult of Divyang people of the society of Gujarat State.
The beneficiary will have to provide income proof along with the application.
Females and beneficiaries below poverty line will be given priority.
The beneficiary should have taken poultry-keeping training.
The beneficiary will have to manage to keep the birds safe during night hours.","Offline
Step 01: The applicant needs to visit the nearest Intensive Poultry Development Project Office or District Poultry Extension Centre and collect the application form.
Step 02: Fill in all the mandatory fields of the application form, attach all the (self-attested) required documents, and submit it to the designated receiving authority.
Step 03: After successful verification, the applicant can avail the benefit of the scheme.","Identity proof i.e. Aadhaar Card, Voter ID Card
Income Proof Certificate
Below Poverty Line Card (If applicable)
Residence proof
Caste Certificate (if applicable)
Disability Certificate from Competent Authority 
Ration Card (if applicable)
Savings Account Bank Passbook or Cancelled Check",
Stipend Scheme For Poultry Farming Training For Weaker Section,https://www.myscheme.gov.in/schemes/sspftws,Gujarat,"Agriculture,Rural & Environment, Skills & Employment","The scheme “Stipend Scheme for Poultry Farming Training for Weaker Section” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers by scientific poultry farming training. Under this scheme, the beneficiary will be given a maximum ₹2000 (direct in bank account) stipend for six days of training and a poultry training certificate after completion of training.","The beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)
Beneficiary will be given poultry training certificate after completion of training.","The benefits of this scheme will only be given to the adult of economically weaker sections people of the society of Gujarat State.
The beneficiary will have to provide income proof along with the application.
Females and beneficiaries Below Poverty Line will be given priority.","Online
Offline
Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿
Step 02: Click on the ""Apply New"" button and submit a new application.
Step 03: Click on the ""Update Application"" button to add corrections to the application.
Step 04: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step 05: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
Step 06: Take a printout of the confirmed application.
Note 01: It is mandatory to take a printout of the application (only applying online will not count as an application).
Note 02: Take a printout of the online application and submit it along with necessary documents to the office/office address mentioned on the application or after applying online on the I-Khedut Portal, take a printout of the application and scan it with signature/thumbprint and ""Signed Application Print"" on the portal. A copy can be uploaded by clicking on Upload"" menu. ""Other Document Upload"" wherever applicable.
Note 03: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note 04: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 05: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Identity proof i.e. Aadhaar Card, Voter ID Card
Income Proof Certificate
Below Poverty Line Card (If applicable)
Residence proof
Caste Certificate
Disability Certificate from Competent Authority (only for PWDs) (if applicable)
Barcoded Ration Card (if applicable)
Savings Account Bank Passbook or Cancelled Check (if applicable)",
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm For Scheduled Caste,https://www.myscheme.gov.in/schemes/ssiemafsc,Gujarat,"Agriculture,Rural & Environment","The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for Scheduled Caste” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Under the scheme, the small and poor farmers of the Scheduled Caste category of Gujarat State can purchase 1 to 20 animals as per their need and capacity to maintain. The eligible beneficiary can get an interest subsidy @ 12 % interest on a bank loan amount for 5 years if he/she has obtained a loan for setting up the unit in the current financial year 2023-24 through a nationalized bank or a financial institution approved by the Reserve Bank of India.
            It also provides good-quality organic manure for improving crop fertility & crop yields. Dung is also used as fuel for domestic purposes. The surplus fodder agricultural by-products are utilized by animals & converted into value-added products viz. Milk, Meat, etc.","The beneficiary can purchase 1 to 20 Milch animals (Any dairy animal cow & buffalo) at a subsidized rate as per their need and capacity to maintain.
The beneficiary can get an interest subsidy up to a maximum of 12% on the unit cost of the animal or the unit loan advanced by the bank for the purchase of the animal, whichever is lower, will be available for a period of five years.
Note 01: The amount of interest subvention will be deposited in the beneficiary's loan account in the form of a Direct Benefit Transfer (DBT) in installments. There will be no cash assistance for any of the beneficiaries.
Note 02: The interest calculated on the actual interest, subject to a maximum of 12% interest, whichever is less, shall be payable under the said scheme at the rate fixed by the State Government on the price of the animal or on the interest paid by the bank on the animal, whichever is less.","The applicant should be a permanent resident of Gujarat State.
The applicant should belong to the Scheduled Caste category only.
The benefit of this scheme will be available to the small and poor farmers of Gujarat State.
The applicant will be eligible for assistance only if he has obtained a loan for setting up the unit in the current financial year 2023-24 through a nationalized bank or a financial institution approved by the Reserve Bank of India.
Note 01: The land should be owned by a member of the family or a beneficiary of the scheme.
Note 02: The grant made under this Act may not be used for any other purpose and shall be paid annually.
Note 03: The scheme shall provide for the establishment of a unit of livestock (cows and buffaloes) by obtaining a certificate from the Animal Husbandry Authority.","Online
Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿
Step 02: Click on the ""Apply New"" button and submit a new application.
Step 03: Click on the ""Update Application"" button to add corrections to the application.
Step 04: Click on the ""Upload Document"" button to upload all the relevant documents.
Step 05: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step 06: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
Step 07: Take a printout of the confirmed application.
﻿

Note 01: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note 02: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 03: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Government-approved photo ID i.e. Aadhaar Card, Voter ID Card
Basis (evidence) for land (if applicable)
Caste Certificate (by competent authority)
Disability Certificate from Competent Authority (only for disabled) (if applicable)
Ration Card (if applicable)
Bank account details
Beneficiary's Undertaking/Consent Form
Loan account passbook or bank disbursement certificate",
